CUSTOMER,Tahun,Bulan OK,NO REK, NO.OK , NAMA BARANG ,  PEMAKAIAN BAHAN BAKU ,  Waste_Total @Kg , Waste %
PT KAO INDONESIA,2024,3,124.1706.021,OK/TAB/24/II/00147,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,4871.6,119.6,2.46%
PT KAO INDONESIA,2024,3,124.1706.021,OK/TAB/24/II/00157,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2435.8,59.8,2.46%
PT KAO INDONESIA,2024,3,124.1706.021,OK/TAB/24/II/00211,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,7420,292,3.94%
PT KAO INDONESIA,2024,3,124.1706.021,OK/TAB/24/II/00234,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,159.4,6.14%
PT KAO INDONESIA,2024,3,124.1706.021,OK/TAB/24/II/00242,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,221,8.51%
PT KAO INDONESIA,2024,3,124.1706.021,OK/TAB/24/II/00279,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5194,209.3,4.03%
PT KAO INDONESIA,2024,3,124.1706.021,OK/TAB/24/III/00033,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,1855,102.6,5.53%
PT KAO INDONESIA,2024,3,124.1706.021,OK/TAB/24/III/00047,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,7420,180.8,2.44%
PT KAO INDONESIA,2024,3,124.1706.021,OK/TAB/24/III/00277,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,1855,59.8,3.22%
PT KAO INDONESIA,2024,3,124.1706.021,OK/TAB/24/III/00282,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,1855,48.6,2.62%
PT KAO INDONESIA,2024,4,124.1705.044,OK/TAB/24/IV/00027,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1855,85.08,4.59%
PT KAO INDONESIA,2024,4,124.1706.021,OK/TAB/24/III/00065,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,59.8,2.30%
PT KAO INDONESIA,2024,4,124.1706.021,OK/TAB/24/III/00113,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,190,7.32%
PT KAO INDONESIA,2024,4,124.1706.021,OK/TAB/24/III/00189,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5008.5,130.5,2.61%
PT KAO INDONESIA,2024,4,124.1706.021,OK/TAB/24/III/00283,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2454.8,78.8,3.21%
PT KAO INDONESIA,2024,4,124.1706.021,OK/TAB/24/III/00317,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,61.2,2.36%
PT KAO INDONESIA,2024,4,124.1706.021,OK/TAB/24/IV/00003,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,7420,204,2.75%
PT KAO INDONESIA,2024,4,124.1706.021,OK/TAB/24/IV/00021,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,87.65,3.38%
PT KAO INDONESIA,2024,4,124.1706.021,OK/TAB/24/IV/00055,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,84.35,3.25%
PT KAO INDONESIA,2024,5,124.1705.044,OK/TAB/24/IV/00080,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,2456.2,80.2,3.27%
PT KAO INDONESIA,2024,5,124.1705.044,OK/TAB/24/IV/00087,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1298.5,40.1,3.09%
PT KAO INDONESIA,2024,5,124.1705.044,OK/TAB/24/IV/00163,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1298.5,0,0.00%
PT KAO INDONESIA,2024,5,124.1705.044,OK/TAB/24/IV/00204,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1208.4,20.4,1.69%
PT KAO INDONESIA,2024,5,124.1705.044,OK/TAB/24/IV/00247,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1855,102.94,5.55%
PT KAO INDONESIA,2024,5,124.1705.044,OK/TAB/24/IV/00264,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1298.5,40.1,3.09%
PT KAO INDONESIA,2024,5,124.1705.044,OK/TAB/24/V/00053,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,3710,134.96,3.64%
PT KAO INDONESIA,2024,5,124.1705.044,OK/TAB/24/V/00258,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,2438.4,62.4,2.56%
PT KAO INDONESIA,2024,5,124.1706.021,OK/TAB/24/IV/00028,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5194,142.8,2.75%
PT KAO INDONESIA,2024,5,124.1706.021,OK/TAB/24/IV/00079,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,12614,382,3.03%
PT KAO INDONESIA,2024,5,124.1706.021,OK/TAB/24/IV/00086,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,80.2,3.09%
PT KAO INDONESIA,2024,5,124.1706.021,OK/TAB/24/IV/00246,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5565,170,3.05%
PT KAO INDONESIA,2024,5,124.1706.021,OK/TAB/24/IV/00162,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5194,119.6,2.30%
PT KAO INDONESIA,2024,5,124.1706.021,OK/TAB/24/IV/00201,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,4851.2,99.2,2.04%
PT KAO INDONESIA,2024,5,124.1706.021,OK/TAB/24/IV/00275,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2485,97,3.90%
PT KAO INDONESIA,2024,5,124.1706.021,OK/TAB/24/IV/00306,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,7420,204,2.75%
PT KAO INDONESIA,2024,5,124.1706.021,OK/TAB/24/V/00020,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5045,187.8,3.72%
PT KAO INDONESIA,2024,5,124.1706.021,OK/TAB/24/V/00029,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,7570,273,3.61%
PT KAO INDONESIA,2024,5,124.1705.048,OK/TAB/24/IV/00232,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-85-1800 FSC MIX) 26118399 40 GSM X 85 MM X 1800 M,1061,179.72,16.94%
PT KAO INDONESIA,2024,6,124.1705.044,OK/TAB/24/V/00322,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,4063,115.83,2.85%
PT KAO INDONESIA,2024,6,124.1705.044,OK/TAB/24/V/00421,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1484,40.8,2.75%
PT KAO INDONESIA,2024,6,124.1705.044,OK/TAB/24/V/00474,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1208.4,20.4,1.69%
PT KAO INDONESIA,2024,6,124.1705.044,OK/TAB/24/V/00475,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1855,31.37,1.69%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/IV/00231,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5008.5,209.3,4.18%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/V/00052,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,3710,117.2,3.16%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/V/00131,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5224,71.2,1.36%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/V/00148,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,9743.2,239.2,2.46%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/V/00161,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5583,21.6,0.39%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/V/00182,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,58.4,2.25%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/V/00192,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2567,59,2.30%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/V/00321,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,1855,59.8,3.22%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/V/00409,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,40.38,1.55%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/V/00420,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,4899,147,3.00%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/V/00453,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,1855,71.82,3.87%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/VI/00026,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,1855,59.8,3.22%
PT KAO INDONESIA,2024,6,124.1706.021,OK/TAB/24/VI/00144,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5639,71.4,1.27%
PT KAO INDONESIA,2024,7,124.1705.044,OK/TAB/24/VI/00034,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,3710,143.76,3.87%
PT KAO INDONESIA,2024,7,124.1705.044,OK/TAB/24/VI/00221,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1855,102.68,5.54%
PT KAO INDONESIA,2024,7,124.1705.044,OK/TAB/24/VI/00241,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1298.5,28.7,2.21%
PT KAO INDONESIA,2024,7,124.1705.044,OK/TAB/24/VI/00286,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,2968,104.5,3.52%
PT KAO INDONESIA,2024,7,124.1705.044,OK/TAB/24/VI/00303,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1298.5,40.1,3.09%
PT KAO INDONESIA,2024,7,124.1705.044,OK/TAB/24/VI/00338,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1298.5,12.1,0.93%
PT KAO INDONESIA,2024,7,124.1705.044,OK/TAB/24/VII/00051,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1855,67.48,3.64%
PT KAO INDONESIA,2024,7,124.1705.044,OK/TAB/24/VII/00097,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1188,0,0.00%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/V/00220,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,10017,127.6,1.27%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/V/00473,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,47.8,1.84%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00029,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,9789.2,285.2,2.91%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00033,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,64,2.46%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00083,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,61.2,2.36%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00145,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2440,64,2.62%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00147,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,1855,36.6,1.97%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00148,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,4816,64,1.33%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00180,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,16.5,0.64%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00233,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,7141.75,110.25,1.54%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00238,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2411.5,23.2,0.96%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00246,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2435.8,59.8,2.46%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00285,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5008.5,127.15,2.54%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00318,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2726,51.66,1.90%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VI/00339,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,1855,-58.6,-3.16%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VII/00009,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,7642,110.2,1.44%
PT KAO INDONESIA,2024,7,124.1706.021,OK/TAB/24/VII/00020,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,4954.5,-5.06,-0.10%
PT KAO INDONESIA,2024,8,124.1705.044,OK/TAB/24/VII/00183,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1298.5,46,3.54%
PT KAO INDONESIA,2024,8,124.1705.044,OK/TAB/24/VII/00204,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1855,79.43,4.28%
PT KAO INDONESIA,2024,8,124.1705.044,OK/TAB/24/VII/00214,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1231.2,43.2,3.51%
PT KAO INDONESIA,2024,8,124.1705.044,OK/TAB/24/VII/00349,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1298.5,45.8,3.53%
PT KAO INDONESIA,2024,8,124.1705.044,OK/TAB/24/VIII/00036,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,2597,93.5,3.60%
PT KAO INDONESIA,2024,8,124.1705.044,OK/TAB/24/VIII/00081,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,5565,293.82,5.28%
PT KAO INDONESIA,2024,8,124.1705.044,OK/TAB/24/VIII/00144,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1298.5,0,0.00%
PT KAO INDONESIA,2024,8,124.1705.044,OK/TAB/24/VIII/00203,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,3696.5,34.66,0.94%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VII/00024,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5008.5,119.6,2.39%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VII/00050,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,3710,265.6,7.16%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VII/00044,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,4943,191,3.86%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VII/00210,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,6056.4,116.4,1.92%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VII/00258,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,4797,45,0.94%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VII/00215,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,1944,-14.84,-0.76%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VII/00269,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,5119,14.8,0.29%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VII/00287,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,64,2.46%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VII/00302,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,0,0.00%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VII/00348,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,7420,207.04,2.79%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VII/00375,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,7902,89.7,1.14%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VIII/00035,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,4897,-0.2,0.00%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VIII/00037,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,1855,60,3.23%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VIII/00045,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,6052.4,112.4,1.86%
PT KAO INDONESIA,2024,8,124.1706.021,OK/TAB/24/VIII/00080,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,11130,-64.6,-0.58%
PT KAO INDONESIA,2024,8,124.1705.046,OK/TAB/24/VII/00343,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-79-4000 FSC MIX) 26216811 40 GSM X 79 MM X 4000 M,1855,0,0.00%
PT KAO INDONESIA,2024,8,124.1705.048,OK/TAB/24/VII/00171,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-85-1800 FSC MIX) 26118399 40 GSM X 85 MM X 1800 M,927.5,2.81,0.30%
PT KAO INDONESIA,2024,8,124.1706.023,OK/TAB/24/VII/00342,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-70-4000 FSC MIX) 26216816 40 GSM X 70 MM X 4000 M,1855,0,0.00%
PT KAO INDONESIA,2024,9,124.1705.044,OK/TAB/24/VIII/00213,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1373.5,13.6,0.99%
PT KAO INDONESIA,2024,9,124.1705.044,OK/TAB/24/VIII/00241,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1298.5,0,0.00%
PT KAO INDONESIA,2024,9,124.1705.044,OK/TAB/24/IX/00007,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,2411.5,110.06,4.56%
PT KAO INDONESIA,2024,9,124.1705.044,OK/TAB/24/IX/00030,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1188,0,0.00%
PT KAO INDONESIA,2024,9,124.1705.044,OK/TAB/24/VIII/00281,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,3710,128.66,3.47%
PT KAO INDONESIA,2024,9,124.1705.044,OK/TAB/24/IX/00010,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,3635,179.16,4.93%
PT KAO INDONESIA,2024,9,124.1705.044,OK/TAB/24/IX/00113,RELEASE PAPER/WHITE (RELEASE PAPER NP 40-55-4000 FSC MIX) 26216813 40 GSM X 55 MM X 4000 M,1188,0,0.00%
PT KAO INDONESIA,2024,9,124.1706.021,OK/TAB/24/VIII/00123,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,4811.8,59.8,1.24%
PT KAO INDONESIA,2024,9,124.1706.021,OK/TAB/24/VIII/00143,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,54.5,2.10%
PT KAO INDONESIA,2024,9,124.1706.021,OK/TAB/24/VIII/00160,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,2597,23.9,0.92%
PT KAO INDONESIA,2024,9,124.1706.021,OK/TAB/24/VIII/00212,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,6659.45,67.25,1.01%
PT KAO INDONESIA,2024,9,124.1706.021,OK/TAB/24/VIII/00228,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,13616,282.7,2.08%
PT KAO INDONESIA,2024,9,124.1706.021,OK/TAB/24/IX/00029,RELEASE PAPER/PINK (RELEASE PAPER HAKURI 40-55-4000 FSC MIX) 26216815 40 GSM X 55 MM X 4000 M,4752,0,0.00%
